id,branch,language,segments_IPA,segments_source,sound_type,source,comments,glottocode
1,Avar-Andic,Akhvakh,b,b,consonant,"[Кибрик, Кодзасов 1990: 322–323]",в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,akhv1239
2,Avar-Andic,Akhvakh,d,d,consonant,"[Кибрик, Кодзасов 1990: 322–323]",в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,akhv1239
3,Avar-Andic,Akhvakh,dʷ,d˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
4,Avar-Andic,Akhvakh,dʒ,ǯ,consonant,"[Кибрик, Кодзасов 1990: 322–323]","у автора дан в скобках: встречается в заимствованиях, свободно варьируется с [ʒ], однако исконное [ʒ] с [dʒ] не варьируется",akhv1239
5,Avar-Andic,Akhvakh,dʒʷ,ǯ˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",неогубленный вариант у автора дан в скобках,akhv1239
6,Avar-Andic,Akhvakh,ɡ,g,consonant,"[Кибрик, Кодзасов 1990: 322–323]",в начале слова может оглушаться; в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,akhv1239
7,Avar-Andic,Akhvakh,ɡʷ,g˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
8,Avar-Andic,Akhvakh,h,h,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
9,Avar-Andic,Akhvakh,hʷ,h˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
10,Avar-Andic,Akhvakh,ʜ,ʜ,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
11,Avar-Andic,Akhvakh,j,j,consonant,"[Кибрик, Кодзасов 1990: 322–323]",в интервокальной позиции слегка геминируются между гласными с высоким ровным тоном,akhv1239
12,Avar-Andic,Akhvakh,k',k',consonant,"[Кибрик, Кодзасов 1990: 322–323]",у абруптивных слабых — укороченная спирантная часть,akhv1239
13,Avar-Andic,Akhvakh,k'ː,k̄',consonant,"[Кибрик, Кодзасов 1990: 322–323]",реализуется как аффриката,akhv1239
14,Avar-Andic,Akhvakh,k'ːʷ,k̄'˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
15,Avar-Andic,Akhvakh,k'ʷ,k'˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
16,Avar-Andic,Akhvakh,kː,k̄,consonant,"[Кибрик, Кодзасов 1990: 322–323]",встречается только в аваризмах; реализуется как аффриката,akhv1239
17,Avar-Andic,Akhvakh,kːʷ,k̄˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
18,Avar-Andic,Akhvakh,kʰ,k,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
19,Avar-Andic,Akhvakh,kʰʷ,k˳,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
20,Avar-Andic,Akhvakh,l,l,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
21,Avar-Andic,Akhvakh,ɬ,ɫ,consonant,"[Кибрик, Кодзасов 1990: 322–323]",,akhv1239
