"Akhvakh [Кибрик, Кодзасов 1990: 322–323] ",,,,,,,,,,,,,,,,,
,b,d,,,dʒ,,,,ɡ,,,,,,,,
,,dʷ,,,dʒʷ,,,,ɡʷ,,,,,,,,
,pʰ,tʰ,ts,tsː,tʃ,tʃː,tɬ,tɬː,k,kː,q,qː,,ʔ,,,
,,tʰʷ,tsʷ,tsːʷ,tʃʷ,tʃːʷ,tɬʷ,tɬːʷ,kʷ,kːʷ,qʷ,qːʷ,,ʔʷ,,,
,p’,t’,ts’,tsː’,tʃ’,tʃ’ː,tɬ’,tɬ’ː,k’,k’ː,q’,q’ː,,,,,
,,t’ʷ,ts’ʷ,tsː’ʷ,tʃ’ʷ,tʃ’ːʷ,tɬ’ʷ,tɬ’ːʷ,k’ʷ,k’ːʷ,q’ʷ,q’ːʷ,,,,,
,,,z,,ʒ,,,,,,ʁ,,ʢ,,,,
,,,zʷ,,ʒʷ,,,,,,ʁʷ,,,,,,
,,,s,sː,ʃ,ʃː,ɬ,ɬː,x,xː,χ,χː,ʜ,h,,,
,,,sʷ,sːʷ,ʃʷ,ʃːʷ,ɬʷ,ɬːʷ,xʷ,xːʷ,χʷ,χːʷ,,hʷ,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
all,b,d,,,,,ɡ,,,,,,,,,,
,pʰ,tʰ,,,,,,ʔ,,,,,,,,,
,,,z,ʒ,,,,,,,,,,,,,
,,,s,ʃ,,,,h,,,,,,,,,
,m,n,,,,,,,,,,,,,,,
,,r,,,l,j,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Udi,b,d,dz,dʒ,,,ɡ,,,,,,,,,,
,pʰ,tʰ,tsʰ,tʃʰ,,,kʰ,qʰ,,,,,,,,,
,p,t,ts,tʃ,,,k,q,ʔ,,,,,,,,
,v,,z,ʒ,,,,ʁ,,,,,,,,,
,f,,s,ʃ,,,,χ,h,,,,,,,,
,m,n,,,,,,,,,,,,,,,
,w,r,,,l,j,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
all_filtered,b,d,,,,,ɡ,,,,,,,,,,
,pʰ,tʰ,ts,tʃʰ,,,kʰ,qʰ,,ʔ,,,,,,,
,p’,t’,ts’,tʃ’,,,k’,q’,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,z,ʒ,,,,ʁ,ʢ,,,,,,,,
,w,,s,ʃ,,,x,χ,ʜ,h,,,,,,,
,m,n,,,,,,,,,,,,,,,
,,r,,,l,j,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
all_filtered,i,iː,,,u,uː,,,,,,,,,,,
,e,,,,o,,,,,,,,,,,,
,,,a,aː,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
phoible,b,d,,dʒ,,,ɡ,,,,,,,,,,
,p,t,,tʃ,,,k,,,,,,,,d-irʔ-an,,d-irʡ-aˤn /d-irʔˤ-an/
,,,z,ʃ,,,,,,,,,,,npl-gather:ipfv-hab,,npl-gather:ipfv-hab
,f,,s,,,,,h,,,,,,,‘gathers them’,,‘gathers them’
,m,n,,,,ɲ,ŋ,,,,,,,,,,
,w,r,,,l,j,,,,,,,,,ħa-d-irʔ-an,,ʜaˤ-d-irʡ-aˤn
,,,,,,,,,,,,,,,neg-npl-gather:ipfv-hab,,neg-npl-freeze:ipfv-hab
eurasianphonology,b,d,,dʒ,,,ɡ,,,,,,,,‘does not gather them’,,‘they are not freezing’
,p,t,ts,tʃ,,,k,,,,,,,,,,
,pʰ,tʰ,,,,,kʰ,,,,,,,,,,
,,,z,ʒ,,,,,,,,,,,,,
,f,v,s,ʃ,,,x,h,,,,,,,,,
,m,n,,,,ɲ,ŋ,,,,,,,,,,
,w,r,,,l,j,,,,,,,,,,,
